STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00294366,JEMEZ DAM NM US,20130101,39,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130102,0,-133,-133
GHCND:USC00294366,JEMEZ DAM NM US,20130103,11,-139,-89
GHCND:USC00294366,JEMEZ DAM NM US,20130104,11,-139,-89
GHCND:USC00294366,JEMEZ DAM NM US,20130105,22,-144,-111
GHCND:USC00294366,JEMEZ DAM NM US,20130106,44,-122,-100
GHCND:USC00294366,JEMEZ DAM NM US,20130107,56,-122,-11
GHCND:USC00294366,JEMEZ DAM NM US,20130108,100,-83,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130109,72,-83,-33
GHCND:USC00294366,JEMEZ DAM NM US,20130111,89,-50,22
GHCND:USC00294366,JEMEZ DAM NM US,20130112,44,-161,-156
GHCND:USC00294366,JEMEZ DAM NM US,20130113,-11,-172,-161
GHCND:USC00294366,JEMEZ DAM NM US,20130114,-17,-178,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130115,-39,-161,-144
GHCND:USC00294366,JEMEZ DAM NM US,20130116,-56,-150,-144
GHCND:USC00294366,JEMEZ DAM NM US,20130117,22,-150,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130118,94,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130119,111,-89,-83
GHCND:USC00294366,JEMEZ DAM NM US,20130120,100,-94,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130121,117,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130122,106,-78,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130123,144,-89,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130126,133,33,67
GHCND:USC00294366,JEMEZ DAM NM US,20130127,94,50,50
GHCND:USC00294366,JEMEZ DAM NM US,20130128,133,39,44
GHCND:USC00294366,JEMEZ DAM NM US,20130129,122,-22,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130130,0,-61,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130131,39,-61,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130201,106,-61,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130202,122,-67,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130203,139,-44,-11
GHCND:USC00294366,JEMEZ DAM NM US,20130204,111,-11,11
GHCND:USC00294366,JEMEZ DAM NM US,20130205,122,-33,-28
GHCND:USC00294366,JEMEZ DAM NM US,20130206,150,-50,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130207,150,-50,6
GHCND:USC00294366,JEMEZ DAM NM US,20130208,133,0,17
GHCND:USC00294366,JEMEZ DAM NM US,20130209,133,-33,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130210,100,-44,-33
GHCND:USC00294366,JEMEZ DAM NM US,20130211,56,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130212,72,-72,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130213,39,-83,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130214,72,-83,-50
GHCND:USC00294366,JEMEZ DAM NM US,20130215,89,-56,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130216,106,-61,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130217,139,-78,-72
GHCND:USC00294366,JEMEZ DAM NM US,20130218,144,-78,6
GHCND:USC00294366,JEMEZ DAM NM US,20130219,94,-39,-28
GHCND:USC00294366,JEMEZ DAM NM US,20130220,156,-28,44
GHCND:USC00294366,JEMEZ DAM NM US,20130221,106,-11,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130222,78,-17,-17
GHCND:USC00294366,JEMEZ DAM NM US,20130223,44,-67,-67
GHCND:USC00294366,JEMEZ DAM NM US,20130224,89,-67,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130225,44,-50,-50
GHCND:USC00294366,JEMEZ DAM NM US,20130226,78,-72,-56
GHCND:USC00294366,JEMEZ DAM NM US,20130227,61,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130228,72,-89,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130301,100,-78,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130302,144,-28,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130303,178,-28,-17
GHCND:USC00294366,JEMEZ DAM NM US,20130304,194,-17,89
GHCND:USC00294366,JEMEZ DAM NM US,20130305,161,-17,-11
GHCND:USC00294366,JEMEZ DAM NM US,20130306,150,-17,44
GHCND:USC00294366,JEMEZ DAM NM US,20130307,183,-11,0
GHCND:USC00294366,JEMEZ DAM NM US,20130308,206,0,44
GHCND:USC00294366,JEMEZ DAM NM US,20130309,156,0,6
GHCND:USC00294366,JEMEZ DAM NM US,20130310,67,-44,-33
GHCND:USC00294366,JEMEZ DAM NM US,20130311,106,-33,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130312,156,-17,33
GHCND:USC00294366,JEMEZ DAM NM US,20130313,189,-11,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130314,206,-11,28
GHCND:USC00294366,JEMEZ DAM NM US,20130315,239,22,39
GHCND:USC00294366,JEMEZ DAM NM US,20130316,256,17,83
GHCND:USC00294366,JEMEZ DAM NM US,20130317,217,39,44
GHCND:USC00294366,JEMEZ DAM NM US,20130318,194,11,11
GHCND:USC00294366,JEMEZ DAM NM US,20130319,178,11,28
GHCND:USC00294366,JEMEZ DAM NM US,20130320,167,22,28
GHCND:USC00294366,JEMEZ DAM NM US,20130321,167,22,106
GHCND:USC00294366,JEMEZ DAM NM US,20130322,206,6,28
GHCND:USC00294366,JEMEZ DAM NM US,20130323,178,11,22
GHCND:USC00294366,JEMEZ DAM NM US,20130324,44,-78,-78
GHCND:USC00294366,JEMEZ DAM NM US,20130325,100,-83,-44
GHCND:USC00294366,JEMEZ DAM NM US,20130326,128,-44,-6
GHCND:USC00294366,JEMEZ DAM NM US,20130327,183,-6,11
GHCND:USC00294366,JEMEZ DAM NM US,20130328,217,0,72
GHCND:USC00294366,JEMEZ DAM NM US,20130329,228,50,78
GHCND:USC00294366,JEMEZ DAM NM US,20130330,228,33,33
GHCND:USC00294366,JEMEZ DAM NM US,20130331,222,33,94
GHCND:USC00294366,JEMEZ DAM NM US,20130401,228,67,78
GHCND:USC00294366,JEMEZ DAM NM US,20130402,228,61,67
GHCND:USC00294366,JEMEZ DAM NM US,20130403,200,28,28
GHCND:USC00294366,JEMEZ DAM NM US,20130404,189,28,33
GHCND:USC00294366,JEMEZ DAM NM US,20130405,228,28,56
GHCND:USC00294366,JEMEZ DAM NM US,20130406,244,56,94
GHCND:USC00294366,JEMEZ DAM NM US,20130407,239,83,89
GHCND:USC00294366,JEMEZ DAM NM US,20130408,228,89,100
GHCND:USC00294366,JEMEZ DAM NM US,20130409,244,67,72
GHCND:USC00294366,JEMEZ DAM NM US,20130410,100,11,11
GHCND:USC00294366,JEMEZ DAM NM US,20130411,83,0,6
GHCND:USC00294366,JEMEZ DAM NM US,20130412,167,0,61
GHCND:USC00294366,JEMEZ DAM NM US,20130413,206,22,44
GHCND:USC00294366,JEMEZ DAM NM US,20130414,233,44,117
GHCND:USC00294366,JEMEZ DAM NM US,20130415,244,83,94
GHCND:USC00294366,JEMEZ DAM NM US,20130416,261,78,117
GHCND:USC00294366,JEMEZ DAM NM US,20130417,267,83,89
GHCND:USC00294366,JEMEZ DAM NM US,20130418,144,-17,-17
GHCND:USC00294366,JEMEZ DAM NM US,20130419,83,-33,-28
GHCND:USC00294366,JEMEZ DAM NM US,20130420,172,-28,44
GHCND:USC00294366,JEMEZ DAM NM US,20130421,194,28,50
GHCND:USC00294366,JEMEZ DAM NM US,20130422,217,44,50
GHCND:USC00294366,JEMEZ DAM NM US,20130423,267,44,61
GHCND:USC00294366,JEMEZ DAM NM US,20130424,189,-28,-22
GHCND:USC00294366,JEMEZ DAM NM US,20130425,200,-22,89
GHCND:USC00294366,JEMEZ DAM NM US,20130426,222,56,67
GHCND:USC00294366,JEMEZ DAM NM US,20130427,233,61,78
GHCND:USC00294366,JEMEZ DAM NM US,20130428,244,44,50
GHCND:USC00294366,JEMEZ DAM NM US,20130429,267,50,83
GHCND:USC00294366,JEMEZ DAM NM US,20130430,289,83,89
GHCND:USC00294366,JEMEZ DAM NM US,20130501,300,89,139
GHCND:USC00294366,JEMEZ DAM NM US,20130502,272,22,28
GHCND:USC00294366,JEMEZ DAM NM US,20130503,161,11,11
GHCND:USC00294366,JEMEZ DAM NM US,20130504,189,11,72
GHCND:USC00294366,JEMEZ DAM NM US,20130505,244,72,94
GHCND:USC00294366,JEMEZ DAM NM US,20130506,228,94,128
GHCND:USC00294366,JEMEZ DAM NM US,20130507,200,56,72
GHCND:USC00294366,JEMEZ DAM NM US,20130508,239,67,94
GHCND:USC00294366,JEMEZ DAM NM US,20130509,200,67,83
GHCND:USC00294366,JEMEZ DAM NM US,20130510,222,83,106
GHCND:USC00294366,JEMEZ DAM NM US,20130511,206,78,83
GHCND:USC00294366,JEMEZ DAM NM US,20130512,228,61,83
GHCND:USC00294366,JEMEZ DAM NM US,20130513,261,83,111
GHCND:USC00294366,JEMEZ DAM NM US,20130514,283,100,128
GHCND:USC00294366,JEMEZ DAM NM US,20130515,300,128,183
GHCND:USC00294366,JEMEZ DAM NM US,20130516,294,106,144
GHCND:USC00294366,JEMEZ DAM NM US,20130517,306,122,150
GHCND:USC00294366,JEMEZ DAM NM US,20130518,300,144,156
GHCND:USC00294366,JEMEZ DAM NM US,20130519,256,117,122
GHCND:USC00294366,JEMEZ DAM NM US,20130520,233,89,89
GHCND:USC00294366,JEMEZ DAM NM US,20130521,228,61,89
GHCND:USC00294366,JEMEZ DAM NM US,20130522,256,83,133
GHCND:USC00294366,JEMEZ DAM NM US,20130523,300,122,156
GHCND:USC00294366,JEMEZ DAM NM US,20130524,328,156,167
GHCND:USC00294366,JEMEZ DAM NM US,20130525,311,133,144
GHCND:USC00294366,JEMEZ DAM NM US,20130526,322,144,150
GHCND:USC00294366,JEMEZ DAM NM US,20130527,306,122,144
GHCND:USC00294366,JEMEZ DAM NM US,20130528,289,89,100
GHCND:USC00294366,JEMEZ DAM NM US,20130529,294,100,156
GHCND:USC00294366,JEMEZ DAM NM US,20130530,267,122,128
GHCND:USC00294366,JEMEZ DAM NM US,20130531,294,122,167
GHCND:USC00294366,JEMEZ DAM NM US,20130601,289,111,122
GHCND:USC00294366,JEMEZ DAM NM US,20130602,306,122,161
GHCND:USC00294366,JEMEZ DAM NM US,20130603,300,144,167
GHCND:USC00294366,JEMEZ DAM NM US,20130604,333,133,183
GHCND:USC00294366,JEMEZ DAM NM US,20130605,333,161,189
GHCND:USC00294366,JEMEZ DAM NM US,20130606,328,150,156
GHCND:USC00294366,JEMEZ DAM NM US,20130607,311,144,161
GHCND:USC00294366,JEMEZ DAM NM US,20130608,322,144,150
GHCND:USC00294366,JEMEZ DAM NM US,20130609,350,150,194
GHCND:USC00294366,JEMEZ DAM NM US,20130610,350,172,200
GHCND:USC00294366,JEMEZ DAM NM US,20130611,378,200,206
GHCND:USC00294366,JEMEZ DAM NM US,20130612,378,156,183
GHCND:USC00294366,JEMEZ DAM NM US,20130613,378,178,228
GHCND:USC00294366,JEMEZ DAM NM US,20130614,367,200,217
GHCND:USC00294366,JEMEZ DAM NM US,20130615,339,172,217
GHCND:USC00294366,JEMEZ DAM NM US,20130616,339,178,189
GHCND:USC00294366,JEMEZ DAM NM US,20130617,333,167,217
GHCND:USC00294366,JEMEZ DAM NM US,20130618,333,183,189
GHCND:USC00294366,JEMEZ DAM NM US,20130619,317,172,194
GHCND:USC00294366,JEMEZ DAM NM US,20130620,361,144,178
GHCND:USC00294366,JEMEZ DAM NM US,20130621,356,133,144
GHCND:USC00294366,JEMEZ DAM NM US,20130622,350,144,172
GHCND:USC00294366,JEMEZ DAM NM US,20130623,339,139,144
GHCND:USC00294366,JEMEZ DAM NM US,20130624,333,144,194
GHCND:USC00294366,JEMEZ DAM NM US,20130625,339,178,194
GHCND:USC00294366,JEMEZ DAM NM US,20130626,339,167,189
GHCND:USC00294366,JEMEZ DAM NM US,20130627,378,183,217
GHCND:USC00294366,JEMEZ DAM NM US,20130628,411,211,233
GHCND:USC00294366,JEMEZ DAM NM US,20130629,367,189,200
GHCND:USC00294366,JEMEZ DAM NM US,20130630,361,200,211
GHCND:USC00294366,JEMEZ DAM NM US,20130701,367,167,178
GHCND:USC00294366,JEMEZ DAM NM US,20130702,300,133,156
GHCND:USC00294366,JEMEZ DAM NM US,20130703,300,150,156
GHCND:USC00294366,JEMEZ DAM NM US,20130704,311,150,167
GHCND:USC00294366,JEMEZ DAM NM US,20130705,344,167,206
GHCND:USC00294366,JEMEZ DAM NM US,20130706,344,178,194
GHCND:USC00294366,JEMEZ DAM NM US,20130707,344,178,194
GHCND:USC00294366,JEMEZ DAM NM US,20130708,344,194,228
GHCND:USC00294366,JEMEZ DAM NM US,20130709,356,189,211
GHCND:USC00294366,JEMEZ DAM NM US,20130710,361,211,228
GHCND:USC00294366,JEMEZ DAM NM US,20130711,356,200,206
GHCND:USC00294366,JEMEZ DAM NM US,20130712,322,178,189
GHCND:USC00294366,JEMEZ DAM NM US,20130713,333,183,200
GHCND:USC00294366,JEMEZ DAM NM US,20130714,344,189,194
GHCND:USC00294366,JEMEZ DAM NM US,20130715,361,183,189
GHCND:USC00294366,JEMEZ DAM NM US,20130716,222,167,167
GHCND:USC00294366,JEMEZ DAM NM US,20130717,289,161,167
GHCND:USC00294366,JEMEZ DAM NM US,20130718,289,161,167
GHCND:USC00294366,JEMEZ DAM NM US,20130719,300,167,194
GHCND:USC00294366,JEMEZ DAM NM US,20130720,311,172,194
GHCND:USC00294366,JEMEZ DAM NM US,20130721,317,183,189
GHCND:USC00294366,JEMEZ DAM NM US,20130722,328,172,194
GHCND:USC00294366,JEMEZ DAM NM US,20130723,350,194,222
GHCND:USC00294366,JEMEZ DAM NM US,20130724,361,200,217
GHCND:USC00294366,JEMEZ DAM NM US,20130725,333,167,172
GHCND:USC00294366,JEMEZ DAM NM US,20130726,300,156,178
GHCND:USC00294366,JEMEZ DAM NM US,20130727,317,144,167
GHCND:USC00294366,JEMEZ DAM NM US,20130728,283,167,194
GHCND:USC00294366,JEMEZ DAM NM US,20130729,306,178,183
GHCND:USC00294366,JEMEZ DAM NM US,20130730,322,178,217
GHCND:USC00294366,JEMEZ DAM NM US,20130731,344,194,211
GHCND:USC00294366,JEMEZ DAM NM US,20130801,350,200,206
GHCND:USC00294366,JEMEZ DAM NM US,20130802,306,167,172
GHCND:USC00294366,JEMEZ DAM NM US,20130803,333,167,167
GHCND:USC00294366,JEMEZ DAM NM US,20130804,317,167,222
GHCND:USC00294366,JEMEZ DAM NM US,20130805,339,172,178
GHCND:USC00294366,JEMEZ DAM NM US,20130806,322,178,211
GHCND:USC00294366,JEMEZ DAM NM US,20130807,311,172,183
GHCND:USC00294366,JEMEZ DAM NM US,20130808,278,167,178
GHCND:USC00294366,JEMEZ DAM NM US,20130809,289,167,167
GHCND:USC00294366,JEMEZ DAM NM US,20130810,306,167,172
GHCND:USC00294366,JEMEZ DAM NM US,20130811,289,156,156
GHCND:USC00294366,JEMEZ DAM NM US,20130812,289,156,194
GHCND:USC00294366,JEMEZ DAM NM US,20130813,283,178,183
GHCND:USC00294366,JEMEZ DAM NM US,20130814,311,183,194
GHCND:USC00294366,JEMEZ DAM NM US,20130815,311,156,183
GHCND:USC00294366,JEMEZ DAM NM US,20130816,333,150,156
GHCND:USC00294366,JEMEZ DAM NM US,20130817,350,156,189
GHCND:USC00294366,JEMEZ DAM NM US,20130818,344,189,211
GHCND:USC00294366,JEMEZ DAM NM US,20130819,344,206,211
GHCND:USC00294366,JEMEZ DAM NM US,20130820,339,167,178
GHCND:USC00294366,JEMEZ DAM NM US,20130821,328,178,178
GHCND:USC00294366,JEMEZ DAM NM US,20130822,322,178,178
GHCND:USC00294366,JEMEZ DAM NM US,20130823,333,178,200
GHCND:USC00294366,JEMEZ DAM NM US,20130824,306,161,161
GHCND:USC00294366,JEMEZ DAM NM US,20130825,289,161,183
GHCND:USC00294366,JEMEZ DAM NM US,20130826,289,167,172
GHCND:USC00294366,JEMEZ DAM NM US,20130827,322,172,189
GHCND:USC00294366,JEMEZ DAM NM US,20130828,311,161,161
GHCND:USC00294366,JEMEZ DAM NM US,20130829,311,161,194
GHCND:USC00294366,JEMEZ DAM NM US,20130830,300,178,178
GHCND:USC00294366,JEMEZ DAM NM US,20130831,333,178,189
GHCND:USC00294366,JEMEZ DAM NM US,20130901,350,189,217
GHCND:USC00294366,JEMEZ DAM NM US,20130902,344,200,206
GHCND:USC00294366,JEMEZ DAM NM US,20130903,317,189,189
GHCND:USC00294366,JEMEZ DAM NM US,20130904,333,172,178
GHCND:USC00294366,JEMEZ DAM NM US,20130905,333,167,172
GHCND:USC00294366,JEMEZ DAM NM US,20130906,322,150,167
GHCND:USC00294366,JEMEZ DAM NM US,20130907,322,156,156
GHCND:USC00294366,JEMEZ DAM NM US,20130908,322,156,178
GHCND:USC00294366,JEMEZ DAM NM US,20130909,317,167,183
GHCND:USC00294366,JEMEZ DAM NM US,20130910,300,178,189
GHCND:USC00294366,JEMEZ DAM NM US,20130911,206,156,167
GHCND:USC00294366,JEMEZ DAM NM US,20130912,267,161,172
GHCND:USC00294366,JEMEZ DAM NM US,20130913,206,156,161
GHCND:USC00294366,JEMEZ DAM NM US,20130914,211,139,139
GHCND:USC00294366,JEMEZ DAM NM US,20130915,233,133,139
GHCND:USC00294366,JEMEZ DAM NM US,20130916,250,139,150
GHCND:USC00294366,JEMEZ DAM NM US,20130917,250,144,156
GHCND:USC00294366,JEMEZ DAM NM US,20130918,250,144,156
GHCND:USC00294366,JEMEZ DAM NM US,20130919,272,156,156
GHCND:USC00294366,JEMEZ DAM NM US,20130920,278,156,161
GHCND:USC00294366,JEMEZ DAM NM US,20130921,278,144,144
GHCND:USC00294366,JEMEZ DAM NM US,20130922,261,133,139
GHCND:USC00294366,JEMEZ DAM NM US,20130923,261,89,89
GHCND:USC00294366,JEMEZ DAM NM US,20130924,211,78,83
GHCND:USC00294366,JEMEZ DAM NM US,20130925,256,83,89
GHCND:USC00294366,JEMEZ DAM NM US,20130926,278,89,94
GHCND:USC00294366,JEMEZ DAM NM US,20130927,278,94,150
GHCND:USC00294366,JEMEZ DAM NM US,20130928,206,33,44
GHCND:USC00294366,JEMEZ DAM NM US,20130929,206,33,39
GHCND:USC00294366,JEMEZ DAM NM US,20130930,244,33,61
GHCND:USC00294366,JEMEZ DAM NM US,20131001,267,61,89
GHCND:USC00294366,JEMEZ DAM NM US,20131002,278,67,72
GHCND:USC00294366,JEMEZ DAM NM US,20131003,261,61,78
GHCND:USC00294366,JEMEZ DAM NM US,20131004,256,72,89
GHCND:USC00294366,JEMEZ DAM NM US,20131005,156,28,28
GHCND:USC00294366,JEMEZ DAM NM US,20131006,156,22,56
GHCND:USC00294366,JEMEZ DAM NM US,20131007,217,39,50
GHCND:USC00294366,JEMEZ DAM NM US,20131008,233,33,61
GHCND:USC00294366,JEMEZ DAM NM US,20131009,244,61,67
GHCND:USC00294366,JEMEZ DAM NM US,20131010,244,56,94
GHCND:USC00294366,JEMEZ DAM NM US,20131011,206,17,22
GHCND:USC00294366,JEMEZ DAM NM US,20131012,156,17,39
GHCND:USC00294366,JEMEZ DAM NM US,20131013,200,28,117
GHCND:USC00294366,JEMEZ DAM NM US,20131014,250,94,100
GHCND:USC00294366,JEMEZ DAM NM US,20131015,189,28,50
GHCND:USC00294366,JEMEZ DAM NM US,20131016,178,44,56
GHCND:USC00294366,JEMEZ DAM NM US,20131017,150,-17,11
GHCND:USC00294366,JEMEZ DAM NM US,20131018,178,-11,22
GHCND:USC00294366,JEMEZ DAM NM US,20131019,156,-11,-11
GHCND:USC00294366,JEMEZ DAM NM US,20131020,178,-22,22
GHCND:USC00294366,JEMEZ DAM NM US,20131021,206,17,72
GHCND:USC00294366,JEMEZ DAM NM US,20131022,178,6,11
GHCND:USC00294366,JEMEZ DAM NM US,20131023,200,-6,17
GHCND:USC00294366,JEMEZ DAM NM US,20131024,211,6,67
GHCND:USC00294366,JEMEZ DAM NM US,20131025,228,50,100
GHCND:USC00294366,JEMEZ DAM NM US,20131026,178,50,50
GHCND:USC00294366,JEMEZ DAM NM US,20131027,189,33,33
GHCND:USC00294366,JEMEZ DAM NM US,20131028,189,33,61
GHCND:USC00294366,JEMEZ DAM NM US,20131029,194,56,56
GHCND:USC00294366,JEMEZ DAM NM US,20131030,194,44,67
GHCND:USC00294366,JEMEZ DAM NM US,20131031,144,22,22
GHCND:USC00294366,JEMEZ DAM NM US,20131101,128,22,33
GHCND:USC00294366,JEMEZ DAM NM US,20131102,144,11,44
GHCND:USC00294366,JEMEZ DAM NM US,20131103,167,39,67
GHCND:USC00294366,JEMEZ DAM NM US,20131104,183,28,33
GHCND:USC00294366,JEMEZ DAM NM US,20131105,183,33,44
GHCND:USC00294366,JEMEZ DAM NM US,20131106,83,-22,-17
GHCND:USC00294366,JEMEZ DAM NM US,20131107,106,-17,6
GHCND:USC00294366,JEMEZ DAM NM US,20131108,150,-22,-11
GHCND:USC00294366,JEMEZ DAM NM US,20131109,161,-11,0
GHCND:USC00294366,JEMEZ DAM NM US,20131110,200,0,39
GHCND:USC00294366,JEMEZ DAM NM US,20131111,200,11,33
GHCND:USC00294366,JEMEZ DAM NM US,20131112,206,33,50
GHCND:USC00294366,JEMEZ DAM NM US,20131113,122,22,22
GHCND:USC00294366,JEMEZ DAM NM US,20131114,128,6,11
GHCND:USC00294366,JEMEZ DAM NM US,20131115,161,-22,-17
GHCND:USC00294366,JEMEZ DAM NM US,20131116,150,-17,67
GHCND:USC00294366,JEMEZ DAM NM US,20131117,144,33,50
GHCND:USC00294366,JEMEZ DAM NM US,20131118,139,-6,6
GHCND:USC00294366,JEMEZ DAM NM US,20131119,167,-11,33
GHCND:USC00294366,JEMEZ DAM NM US,20131120,156,-11,44
GHCND:USC00294366,JEMEZ DAM NM US,20131121,94,33,39
GHCND:USC00294366,JEMEZ DAM NM US,20131122,100,-22,-17
GHCND:USC00294366,JEMEZ DAM NM US,20131123,22,-22,11
GHCND:USC00294366,JEMEZ DAM NM US,20131124,22,-56,-56
GHCND:USC00294366,JEMEZ DAM NM US,20131125,-17,-61,-28
GHCND:USC00294366,JEMEZ DAM NM US,20131126,61,-56,-44
GHCND:USC00294366,JEMEZ DAM NM US,20131127,83,-50,-44
GHCND:USC00294366,JEMEZ DAM NM US,20131128,78,-44,-28
GHCND:USC00294366,JEMEZ DAM NM US,20131129,94,-39,-22
GHCND:USC00294366,JEMEZ DAM NM US,20131130,122,-28,-22
GHCND:USC00294366,JEMEZ DAM NM US,20131201,133,-22,0
GHCND:USC00294366,JEMEZ DAM NM US,20131202,56,-6,0
GHCND:USC00294366,JEMEZ DAM NM US,20131203,106,-33,-28
GHCND:USC00294366,JEMEZ DAM NM US,20131204,178,-28,61
GHCND:USC00294366,JEMEZ DAM NM US,20131205,144,-17,-17
GHCND:USC00294366,JEMEZ DAM NM US,20131206,-11,-133,-128
GHCND:USC00294366,JEMEZ DAM NM US,20131207,17,-133,-72
GHCND:USC00294366,JEMEZ DAM NM US,20131208,0,-72,-39
GHCND:USC00294366,JEMEZ DAM NM US,20131209,0,-56,-56
GHCND:USC00294366,JEMEZ DAM NM US,20131210,-22,-122,-122
GHCND:USC00294366,JEMEZ DAM NM US,20131211,33,-133,-72
GHCND:USC00294366,JEMEZ DAM NM US,20131212,39,-72,-50
GHCND:USC00294366,JEMEZ DAM NM US,20131213,50,-50,0
GHCND:USC00294366,JEMEZ DAM NM US,20131214,67,-50,-50
GHCND:USC00294366,JEMEZ DAM NM US,20131215,67,-67,-56
GHCND:USC00294366,JEMEZ DAM NM US,20131216,78,-56,-44
GHCND:USC00294366,JEMEZ DAM NM US,20131217,117,-50,-11
GHCND:USC00294366,JEMEZ DAM NM US,20131218,133,-50,-50
GHCND:USC00294366,JEMEZ DAM NM US,20131219,117,-56,-28
GHCND:USC00294366,JEMEZ DAM NM US,20131220,128,-39,-22
GHCND:USC00294366,JEMEZ DAM NM US,20131221,144,-33,11
GHCND:USC00294366,JEMEZ DAM NM US,20131222,33,-33,-28
GHCND:USC00294366,JEMEZ DAM NM US,20131223,56,-50,-39
GHCND:USC00294366,JEMEZ DAM NM US,20131224,72,-61,-56
GHCND:USC00294366,JEMEZ DAM NM US,20131225,89,-67,-50
GHCND:USC00294366,JEMEZ DAM NM US,20131226,78,-72,-72
GHCND:USC00294366,JEMEZ DAM NM US,20131227,106,-89,-22
GHCND:USC00294366,JEMEZ DAM NM US,20131228,122,-78,-72
GHCND:USC00294366,JEMEZ DAM NM US,20131229,83,-78,0
GHCND:USC00294366,JEMEZ DAM NM US,20131230,67,-56,-39
GHCND:USC00294366,JEMEZ DAM NM US,20131231,94,-72,-72
